metro_code,series_id,year,period,value,footnotes
41860,SMS06418600000000001,2024,M08,2431.1,[{}]
41860,SMS06418600000000001,2024,M07,2438.0,[{}]
41860,SMS06418600000000001,2024,M06,2437.4,[{}]
41860,SMS06418600000000001,2024,M05,2445.0,[{}]
41860,SMS06418600000000001,2024,M04,2444.1,[{}]
41860,SMS06418600000000001,2024,M03,2447.9,[{}]
41860,SMS06418600000000001,2024,M02,2448.8,[{}]
41860,SMS06418600000000001,2024,M01,2467.3,[{}]
41860,SMS06418600000000001,2023,M12,2450.4,[{}]
41860,SMS06418600000000001,2023,M11,2450.5,[{}]
41860,SMS06418600000000001,2023,M10,2453.5,[{}]
41860,SMS06418600000000001,2023,M09,2459.6,[{}]
41860,SMS06418600000000001,2023,M08,2455.3,[{}]
41860,SMS06418600000000001,2023,M07,2453.3,[{}]
41860,SMS06418600000000001,2023,M06,2463.3,[{}]
41860,SMS06418600000000001,2023,M05,2465.4,[{}]
41860,SMS06418600000000001,2023,M04,2467.2,[{}]
41860,SMS06418600000000001,2023,M03,2465.9,[{}]
41860,SMS06418600000000001,2023,M02,2469.6,[{}]
41860,SMS06418600000000001,2023,M01,2472.5,[{}]
41860,SMS06418600000000001,2022,M12,2474.0,[{}]
41860,SMS06418600000000001,2022,M11,2478.0,[{}]
41860,SMS06418600000000001,2022,M10,2473.5,[{}]
41860,SMS06418600000000001,2022,M09,2475.9,[{}]
41860,SMS06418600000000001,2022,M08,2476.8,[{}]
41860,SMS06418600000000001,2022,M07,2471.1,[{}]
41860,SMS06418600000000001,2022,M06,2469.3,[{}]
41860,SMS06418600000000001,2022,M05,2462.0,[{}]
41860,SMS06418600000000001,2022,M04,2455.2,[{}]
41860,SMS06418600000000001,2022,M03,2452.8,[{}]
41860,SMS06418600000000001,2022,M02,2441.8,[{}]
41860,SMS06418600000000001,2022,M01,2430.7,[{}]
41860,SMS06418600000000001,2021,M12,2425.2,[{}]
41860,SMS06418600000000001,2021,M11,2412.0,[{}]
41860,SMS06418600000000001,2021,M10,2404.6,[{}]
41860,SMS06418600000000001,2021,M09,2365.8,[{}]
41860,SMS06418600000000001,2021,M08,2361.7,[{}]
41860,SMS06418600000000001,2021,M07,2347.9,[{}]
41860,SMS06418600000000001,2021,M06,2321.3,[{}]
41860,SMS06418600000000001,2021,M05,2310.8,[{}]
41860,SMS06418600000000001,2021,M04,2297.9,[{}]
41860,SMS06418600000000001,2021,M03,2277.3,[{}]
41860,SMS06418600000000001,2021,M02,2260.8,[{}]
41860,SMS06418600000000001,2021,M01,2237.3,[{}]
41860,SMS06418600000000001,2020,M12,2246.1,[{}]
41860,SMS06418600000000001,2020,M11,2255.8,[{}]
41860,SMS06418600000000001,2020,M10,2249.7,[{}]
41860,SMS06418600000000001,2020,M09,2227.3,[{}]
41860,SMS06418600000000001,2020,M08,2212.6,[{}]
41860,SMS06418600000000001,2020,M07,2197.5,[{}]
41860,SMS06418600000000001,2020,M06,2190.7,[{}]
41860,SMS06418600000000001,2020,M05,2151.2,[{}]
41860,SMS06418600000000001,2020,M04,2114.5,[{}]
41860,SMS06418600000000001,2020,M03,2495.5,[{}]
41860,SMS06418600000000001,2020,M02,2522.4,[{}]
41860,SMS06418600000000001,2020,M01,2518.9,[{}]
41740,SMS06417400000000001,2024,M12,1566.3,[{}]
41740,SMS06417400000000001,2024,M11,1560.0,[{}]
41740,SMS06417400000000001,2024,M10,1561.3,[{}]
41740,SMS06417400000000001,2024,M09,1551.5,[{}]
41740,SMS06417400000000001,2024,M08,1555.3,[{}]
41740,SMS06417400000000001,2024,M07,1556.6,[{}]
