metro_code,series_id,year,period,value,footnotes
34980,ENUC349840510,2021,Q01,1262.0,[{}]
34980,ENUC349840510,2020,Q04,1318.0,[{}]
34980,ENUC349840510,2020,Q03,1137.0,[{}]
34980,ENUC349840510,2020,Q02,1128.0,[{}]
34980,ENUC349840510,2020,Q01,1189.0,[{}]
24860,ENUC248640510,2024,Q04,1204.0,[{}]
24860,ENUC248640510,2024,Q03,1118.0,[{}]
24860,ENUC248640510,2024,Q02,1115.0,[{}]
24860,ENUC248640510,2024,Q01,1164.0,[{}]
24860,ENUC248640510,2023,Q04,1144.0,[{}]
24860,ENUC248640510,2023,Q03,1070.0,[{}]
24860,ENUC248640510,2023,Q02,1066.0,[{}]
24860,ENUC248640510,2023,Q01,1116.0,[{}]
24860,ENUC248640510,2022,Q04,1113.0,[{}]
24860,ENUC248640510,2022,Q03,1065.0,[{}]
24860,ENUC248640510,2022,Q02,1030.0,[{}]
24860,ENUC248640510,2022,Q01,1024.0,[{}]
24860,ENUC248640510,2021,Q04,1106.0,[{}]
24860,ENUC248640510,2021,Q03,977.0,[{}]
24860,ENUC248640510,2021,Q02,966.0,[{}]
24860,ENUC248640510,2021,Q01,948.0,[{}]
24860,ENUC248640510,2020,Q04,1041.0,[{}]
24860,ENUC248640510,2020,Q03,920.0,[{}]
24860,ENUC248640510,2020,Q02,933.0,[{}]
24860,ENUC248640510,2020,Q01,922.0,[{}]
16700,ENUC167040510,2024,Q04,1331.0,[{}]
16700,ENUC167040510,2024,Q03,1217.0,[{}]
16700,ENUC167040510,2024,Q02,1205.0,[{}]
16700,ENUC167040510,2024,Q01,1314.0,[{}]
16700,ENUC167040510,2023,Q04,1252.0,[{}]
16700,ENUC167040510,2023,Q03,1159.0,[{}]
16700,ENUC167040510,2023,Q02,1153.0,[{}]
16700,ENUC167040510,2023,Q01,1261.0,[{}]
16700,ENUC167040510,2022,Q04,1200.0,[{}]
16700,ENUC167040510,2022,Q03,1174.0,[{}]
16700,ENUC167040510,2022,Q02,1116.0,[{}]
16700,ENUC167040510,2022,Q01,1159.0,[{}]
16700,ENUC167040510,2021,Q04,1191.0,[{}]
16700,ENUC167040510,2021,Q03,1067.0,[{}]
16700,ENUC167040510,2021,Q02,1061.0,[{}]
16700,ENUC167040510,2021,Q01,1044.0,[{}]
16700,ENUC167040510,2020,Q04,1126.0,[{}]
16700,ENUC167040510,2020,Q03,994.0,[{}]
16700,ENUC167040510,2020,Q02,1006.0,[{}]
16700,ENUC167040510,2020,Q01,987.0,[{}]
15380,ENUC153840510,2024,Q04,1239.0,[{}]
15380,ENUC153840510,2024,Q03,1156.0,[{}]
15380,ENUC153840510,2024,Q02,1147.0,[{}]
15380,ENUC153840510,2024,Q01,1232.0,[{}]
15380,ENUC153840510,2023,Q04,1194.0,[{}]
15380,ENUC153840510,2023,Q03,1119.0,[{}]
15380,ENUC153840510,2023,Q02,1113.0,[{}]
15380,ENUC153840510,2023,Q01,1185.0,[{}]
15380,ENUC153840510,2022,Q04,1149.0,[{}]
15380,ENUC153840510,2022,Q03,1114.0,[{}]
15380,ENUC153840510,2022,Q02,1064.0,[{}]
15380,ENUC153840510,2022,Q01,1102.0,[{}]
15380,ENUC153840510,2021,Q04,1151.0,[{}]
15380,ENUC153840510,2021,Q03,1053.0,[{}]
15380,ENUC153840510,2021,Q02,1022.0,[{}]
15380,ENUC153840510,2021,Q01,1034.0,[{}]
15380,ENUC153840510,2020,Q04,1126.0,[{}]
15380,ENUC153840510,2020,Q03,994.0,[{}]
15380,ENUC153840510,2020,Q02,1015.0,[{}]
15380,ENUC153840510,2020,Q01,987.0,[{}]
47260,ENUC472640510,2024,Q04,1206.0,[{}]
47260,ENUC472640510,2024,Q03,1127.0,[{}]
47260,ENUC472640510,2024,Q02,1105.0,[{}]
47260,ENUC472640510,2024,Q01,1184.0,[{}]
47260,ENUC472640510,2023,Q04,1187.0,[{}]
47260,ENUC472640510,2023,Q03,1084.0,[{}]
47260,ENUC472640510,2023,Q02,1059.0,[{}]
47260,ENUC472640510,2023,Q01,1139.0,[{}]
47260,ENUC472640510,2022,Q04,1121.0,[{}]
47260,ENUC472640510,2022,Q03,1079.0,[{}]
47260,ENUC472640510,2022,Q02,1027.0,[{}]
47260,ENUC472640510,2022,Q01,1050.0,[{}]
47260,ENUC472640510,2021,Q04,1121.0,[{}]
47260,ENUC472640510,2021,Q03,987.0,[{}]
47260,ENUC472640510,2021,Q02,993.0,[{}]
47260,ENUC472640510,2021,Q01,974.0,[{}]
47260,ENUC472640510,2020,Q04,1073.0,[{}]
47260,ENUC472640510,2020,Q03,932.0,[{}]
47260,ENUC472640510,2020,Q02,960.0,[{}]
47260,ENUC472640510,2020,Q01,929.0,[{}]
